
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           1.00902440E-02   2.94170166E+02   1.16701822E+13
           1.01154139E-02   2.94170227E+02   1.16303971E+13
           1.01405848E-02   2.94170288E+02   1.15910724E+13
           1.01657547E-02   2.94170319E+02   1.15521974E+13
           1.01909256E-02   2.94170380E+02   1.15137650E+13
           1.02160955E-02   2.94170441E+02   1.14757667E+13
           1.02412663E-02   2.94170471E+02   1.14381942E+13
           1.02664363E-02   2.94170532E+02   1.14010400E+13
           1.02916071E-02   2.94170593E+02   1.13642968E+13
           1.03167770E-02   2.94170624E+02   1.13279574E+13
           1.03419470E-02   2.94170685E+02   1.12920132E+13
           1.03671178E-02   2.94170746E+02   1.12564581E+13
           1.03922877E-02   2.94170776E+02   1.12212857E+13
           1.04174586E-02   2.94170837E+02   1.11864877E+13
           1.04426285E-02   2.94170898E+02   1.11520587E+13
           1.04677994E-02   2.94170929E+02   1.11179926E+13
           1.04929693E-02   2.94170990E+02   1.10842819E+13
           1.05181402E-02   2.94171051E+02   1.10509204E+13
           1.05433101E-02   2.94171082E+02   1.10179029E+13
           1.05684800E-02   2.94171143E+02   1.09852230E+13
           1.05936509E-02   2.94171173E+02   1.09528754E+13
           1.06188208E-02   2.94171234E+02   1.09208540E+13
           1.06439916E-02   2.94171295E+02   1.08891535E+13
           1.06691616E-02   2.94171326E+02   1.08577675E+13
           1.06943324E-02   2.94171387E+02   1.08266919E+13
           1.07195023E-02   2.94171448E+02   1.07959214E+13
           1.07446732E-02   2.94171478E+02   1.07654498E+13
           1.07698431E-02   2.94171539E+02   1.07352739E+13
           1.07950130E-02   2.94171600E+02   1.07053863E+13
           1.08201839E-02   2.94171631E+02   1.06757850E+13
           1.08453538E-02   2.94171692E+02   1.06464637E+13
           1.08705247E-02   2.94171753E+02   1.06174192E+13
           1.08978115E-02   2.94171783E+02   1.05862482E+13
           1.09250993E-02   2.94171844E+02   1.05553917E+13
           1.09523870E-02   2.94171906E+02   1.05248425E+13
           1.09796738E-02   2.94171967E+02   1.04945953E+13
           1.10069616E-02   2.94172028E+02   1.04646448E+13
           1.10342493E-02   2.94172058E+02   1.04349869E+13
           1.10615361E-02   2.94172119E+02   1.04056163E+13
           1.10888239E-02   2.94172180E+02   1.03765277E+13
           1.11161107E-02   2.94172241E+02   1.03477160E+13
           1.11433985E-02   2.94172272E+02   1.03191769E+13
           1.11706862E-02   2.94172333E+02   1.02909063E+13
           1.11979730E-02   2.94172394E+02   1.02628999E+13
           1.12252608E-02   2.94172455E+02   1.02351524E+13
           1.12548713E-02   2.94172516E+02   1.02053435E+13
           1.12844817E-02   2.94172577E+02   1.01758292E+13
           1.13140922E-02   2.94172638E+02   1.01466044E+13
           1.13437017E-02   2.94172699E+02   1.01176647E+13
           1.13733122E-02   2.94172760E+02   1.00890040E+13
           1.14029227E-02   2.94172821E+02   1.00606191E+13
           1.14325332E-02   2.94172852E+02   1.00325036E+13
           1.14621436E-02   2.94172913E+02   1.00046545E+13
           1.14917541E-02   2.94172974E+02   9.97706642E+12
           1.15213646E-02   2.94173035E+02   9.94973424E+12
           1.15509750E-02   2.94173096E+02   9.92265581E+12
           1.15805855E-02   2.94173157E+02   9.89582485E+12
           1.16101950E-02   2.94173218E+02   9.86923821E+12
           1.16423387E-02   2.94173279E+02   9.84065927E+12
           1.16744824E-02   2.94173340E+02   9.81235820E+12
           1.17066260E-02   2.94173401E+02   9.78433081E+12
           1.17387697E-02   2.94173492E+02   9.75657081E+12
           1.17709124E-02   2.94173553E+02   9.72907400E+12
           1.18030561E-02   2.94173615E+02   9.70183619E+12
           1.18351998E-02   2.94173676E+02   9.67485319E+12
           1.18673434E-02   2.94173737E+02   9.64812079E+12
           1.18994862E-02   2.94173798E+02   9.62163376E+12
           1.19316299E-02   2.94173859E+02   9.59538790E+12
           1.19637735E-02   2.94173920E+02   9.56938112E+12
           1.19959172E-02   2.94173981E+02   9.54360712E+12
           1.20280609E-02   2.94174042E+02   9.51806381E+12
           1.20629705E-02   2.94174133E+02   9.49058798E+12
           1.20978812E-02   2.94174194E+02   9.46337428E+12
           1.21327918E-02   2.94174255E+02   9.43641749E+12
           1.21677024E-02   2.94174347E+02   9.40971341E+12
           1.22026121E-02   2.94174408E+02   9.38325888E+12
           1.22375228E-02   2.94174469E+02   9.35704763E+12
           1.22724334E-02   2.94174530E+02   9.33107755E+12
           1.23073440E-02   2.94174622E+02   9.30534235E+12
           1.23422537E-02   2.94174683E+02   9.27983993E+12
           1.23771643E-02   2.94174744E+02   9.25456610E+12
           1.24120750E-02   2.94174835E+02   9.22951667E+12
           1.24469846E-02   2.94174896E+02   9.20468744E+12
           1.24846911E-02   2.94174957E+02   9.17812386E+12
           1.25223966E-02   2.94175049E+02   9.15180880E+12
           1.25601031E-02   2.94175110E+02   9.12573910E+12
           1.25978086E-02   2.94175201E+02   9.09990848E+12
           1.26355151E-02   2.94175262E+02   9.07431484E+12
           1.26732206E-02   2.94175354E+02   9.04895293E+12
           1.27109261E-02   2.94175415E+02   9.02382066E+12
           1.27486326E-02   2.94175507E+02   8.99891174E+12
           1.27863381E-02   2.94175568E+02   8.97422406E+12
           1.28240446E-02   2.94175659E+02   8.94975449E+12
           1.28617501E-02   2.94175720E+02   8.92549779E+12
           1.28994556E-02   2.94175812E+02   8.90145184E+12
           1.29402103E-02   2.94175873E+02   8.87570196E+12
           1.29809650E-02   2.94175964E+02   8.85019116E+12
           1.30217196E-02   2.94176056E+02   8.82491313E+12
           1.30624743E-02   2.94176117E+02   8.79986370E+12
           1.31032290E-02   2.94176208E+02   8.77504129E+12
           1.31439827E-02   2.94176300E+02   8.75043960E+12
           1.31847374E-02   2.94176361E+02   8.72605653E+12
           1.32254921E-02   2.94176453E+02   8.70188843E+12
           1.32662468E-02   2.94176544E+02   8.67793109E+12
           1.33070014E-02   2.94176605E+02   8.65418189E+12
           1.33477552E-02   2.94176697E+02   8.63063717E+12
           1.33885099E-02   2.94176788E+02   8.60729324E+12
           1.34325996E-02   2.94176880E+02   8.58227055E+12
           1.34766893E-02   2.94176941E+02   8.55747592E+12
           1.35207791E-02   2.94177032E+02   8.53290516E+12
           1.35648688E-02   2.94177124E+02   8.50855461E+12
           1.36089586E-02   2.94177216E+02   8.48442058E+12
           1.36530483E-02   2.94177307E+02   8.46049942E+12
           1.36971371E-02   2.94177399E+02   8.43678797E+12
           1.37412269E-02   2.94177490E+02   8.41328309E+12
           1.37853166E-02   2.94177582E+02   8.38998059E+12
           1.38294064E-02   2.94177673E+02   8.36687836E+12
           1.38734961E-02   2.94177734E+02   8.34397274E+12
           1.39175858E-02   2.94177826E+02   8.32126111E+12
           1.39653366E-02   2.94177917E+02   8.29688644E+12
           1.40130883E-02   2.94178040E+02   8.27273144E+12
           1.40608391E-02   2.94178131E+02   8.24879245E+12
           1.41085908E-02   2.94178223E+02   8.22506632E+12
           1.41563416E-02   2.94178314E+02   8.20154886E+12
           1.42040933E-02   2.94178406E+02   8.17823796E+12
           1.42518440E-02   2.94178497E+02   8.15512945E+12
           1.42995957E-02   2.94178589E+02   8.13222068E+12
           1.43473465E-02   2.94178680E+02   8.10950800E+12
           1.43950982E-02   2.94178802E+02   8.08698878E+12
           1.44428490E-02   2.94178894E+02   8.06465936E+12
           1.44906007E-02   2.94178986E+02   8.04251815E+12
           1.45423878E-02   2.94179077E+02   8.01872229E+12
           1.45941749E-02   2.94179199E+02   7.99513982E+12
           1.46459611E-02   2.94179291E+02   7.97176758E+12
           1.46977482E-02   2.94179382E+02   7.94860192E+12
           1.47495354E-02   2.94179504E+02   7.92563968E+12
           1.48013225E-02   2.94179596E+02   7.90287771E+12
           1.48531096E-02   2.94179718E+02   7.88031236E+12
           1.49048967E-02   2.94179810E+02   7.85794204E+12
           1.49566839E-02   2.94179901E+02   7.83576256E+12
           1.50084710E-02   2.94180023E+02   7.81377077E+12
           1.50602572E-02   2.94180115E+02   7.79196511E+12
           1.51120443E-02   2.94180237E+02   7.77034190E+12
           1.51682980E-02   2.94180328E+02   7.74706561E+12
           1.52245518E-02   2.94180450E+02   7.72399851E+12
           1.52808065E-02   2.94180573E+02   7.70113641E+12
           1.53370602E-02   2.94180664E+02   7.67847668E+12
           1.53933140E-02   2.94180786E+02   7.65601618E+12
           1.54495677E-02   2.94180908E+02   7.63375124E+12
           1.55058214E-02   2.94181000E+02   7.61167977E+12
           1.55620752E-02   2.94181122E+02   7.58979861E+12
           1.56183289E-02   2.94181244E+02   7.56810462E+12
           1.56745836E-02   2.94181335E+02   7.54659518E+12
           1.57308374E-02   2.94181458E+02   7.52526714E+12
           1.57870911E-02   2.94181580E+02   7.50411842E+12
           1.58483088E-02   2.94181702E+02   7.48131189E+12
           1.59095284E-02   2.94181824E+02   7.45871036E+12
           1.59707479E-02   2.94181946E+02   7.43631172E+12
           1.60319675E-02   2.94182068E+02   7.41411180E+12
           1.60931870E-02   2.94182190E+02   7.39210795E+12
           1.61544066E-02   2.94182312E+02   7.37029757E+12
           1.62156262E-02   2.94182434E+02   7.34867751E+12
           1.62768457E-02   2.94182556E+02   7.32724462E+12
           1.63380634E-02   2.94182678E+02   7.30599680E+12
