
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           6.09676121E-03   3.00013214E+02   2.85184507E+13
           6.11867290E-03   3.00013275E+02   2.85708627E+13
           6.14058413E-03   3.00013306E+02   2.86231867E+13
           6.16249535E-03   3.00013367E+02   2.86754246E+13
           6.18440704E-03   3.00013428E+02   2.87275766E+13
           6.20631827E-03   3.00013458E+02   2.87796426E+13
           6.22822950E-03   3.00013519E+02   2.88316226E+13
           6.25014119E-03   3.00013550E+02   2.88835208E+13
           6.27205241E-03   3.00013611E+02   2.89353331E+13
           6.29396364E-03   3.00013641E+02   2.89870614E+13
           6.31587533E-03   3.00013702E+02   2.90387080E+13
           6.33778656E-03   3.00013733E+02   2.90902707E+13
           6.35969779E-03   3.00013794E+02   2.91417495E+13
           6.38160948E-03   3.00013855E+02   2.91931465E+13
           6.40352070E-03   3.00013885E+02   2.92444638E+13
           6.42543193E-03   3.00013947E+02   2.92956972E+13
           6.44734362E-03   3.00013977E+02   2.93468509E+13
           6.46596821E-03   3.00014038E+02   2.93902725E+13
           6.48459280E-03   3.00014069E+02   2.94336374E+13
           6.50321739E-03   3.00014099E+02   2.94769415E+13
           6.52184198E-03   3.00014160E+02   2.95201910E+13
           6.54046657E-03   3.00014191E+02   2.95633819E+13
           6.55909115E-03   3.00014221E+02   2.96065161E+13
           6.57771574E-03   3.00014282E+02   2.96495916E+13
           6.59634080E-03   3.00014313E+02   2.96926126E+13
           6.61496539E-03   3.00014343E+02   2.97355748E+13
           6.63358998E-03   3.00014374E+02   2.97784826E+13
           6.65221456E-03   3.00014435E+02   2.98213337E+13
           6.67083915E-03   3.00014465E+02   2.98641282E+13
           6.68946374E-03   3.00014496E+02   2.99068681E+13
           6.70808833E-03   3.00014557E+02   2.99495514E+13
           6.72671292E-03   3.00014587E+02   2.99921803E+13
           6.74533751E-03   3.00014618E+02   3.00347524E+13
           6.76396256E-03   3.00014679E+02   3.00772722E+13
           6.78258715E-03   3.00014709E+02   3.01197374E+13
           6.80121174E-03   3.00014740E+02   3.01621460E+13
           6.81983633E-03   3.00014801E+02   3.02045022E+13
           6.83846092E-03   3.00014832E+02   3.02468039E+13
           6.85708551E-03   3.00014862E+02   3.02890510E+13
           6.87571010E-03   3.00014923E+02   3.03312457E+13
           6.89433469E-03   3.00014954E+02   3.03733859E+13
           6.91295927E-03   3.00014984E+02   3.04154736E+13
           6.93158433E-03   3.00015045E+02   3.04575089E+13
           6.95020892E-03   3.00015076E+02   3.04994897E+13
           6.96883351E-03   3.00015106E+02   3.05414202E+13
           6.98745809E-03   3.00015167E+02   3.05832961E+13
           7.00608268E-03   3.00015198E+02   3.06251196E+13
           7.02470727E-03   3.00015228E+02   3.06668928E+13
           7.04333186E-03   3.00015289E+02   3.07086135E+13
           7.06195645E-03   3.00015320E+02   3.07502839E+13
           7.08058150E-03   3.00015350E+02   3.07918998E+13
           7.09920609E-03   3.00015411E+02   3.08334675E+13
           7.11783068E-03   3.00015442E+02   3.08749827E+13
           7.13645527E-03   3.00015472E+02   3.09164476E+13
           7.15507986E-03   3.00015533E+02   3.09578600E+13
           7.17370445E-03   3.00015564E+02   3.09992243E+13
           7.19232904E-03   3.00015594E+02   3.10405381E+13
           7.21095363E-03   3.00015656E+02   3.10817996E+13
           7.22957822E-03   3.00015686E+02   3.11230128E+13
           7.24820327E-03   3.00015717E+02   3.11641757E+13
           7.26682786E-03   3.00015747E+02   3.12052883E+13
           7.28545245E-03   3.00015808E+02   3.12463526E+13
           7.30407704E-03   3.00015839E+02   3.12873687E+13
           7.32270163E-03   3.00015869E+02   3.13283345E+13
           7.34132621E-03   3.00015930E+02   3.13692499E+13
           7.35995080E-03   3.00015961E+02   3.14101192E+13
           7.37857539E-03   3.00015991E+02   3.14509382E+13
           7.39719998E-03   3.00016052E+02   3.14917089E+13
           7.41582504E-03   3.00016083E+02   3.15324314E+13
           7.43444962E-03   3.00016113E+02   3.15731078E+13
           7.45307421E-03   3.00016174E+02   3.16137338E+13
           7.47169880E-03   3.00016205E+02   3.16543137E+13
           7.49032339E-03   3.00016235E+02   3.16948454E+13
           7.50894798E-03   3.00016296E+02   3.17353288E+13
           7.52757257E-03   3.00016327E+02   3.17757661E+13
           7.54619716E-03   3.00016357E+02   3.18161572E+13
           7.56482221E-03   3.00016418E+02   3.18565001E+13
           7.58344680E-03   3.00016449E+02   3.18967969E+13
           7.60207139E-03   3.00016479E+02   3.19370476E+13
           7.62069598E-03   3.00016541E+02   3.19772500E+13
           7.63932057E-03   3.00016571E+02   3.20174083E+13
           7.65794516E-03   3.00016602E+02   3.20575206E+13
           7.67656974E-03   3.00016663E+02   3.20975845E+13
           7.69519433E-03   3.00016693E+02   3.21376045E+13
           7.71381892E-03   3.00016724E+02   3.21775783E+13
           7.73244398E-03   3.00016785E+02   3.22175081E+13
           7.75106857E-03   3.00016815E+02   3.22573917E+13
           7.76969315E-03   3.00016846E+02   3.22972292E+13
           7.78831774E-03   3.00016907E+02   3.23370227E+13
           7.80694233E-03   3.00016937E+02   3.23767721E+13
